Route,Segment_ID,A.Buildings,B.Buildings,A.PredominantBuildings,B.PredominantBuildings,BuildingsSame,A.CyclingFacility,B.CyclingFacility,A.FacilityLocation,B.FacilityLocation,A.Slope,B.Slope,A.FacilityCondition,B.FacilityCondition,A.RoadCondition,B.RoadCondition,A.Lanes,B.Lanes,A.ParkingRestriction,B.ParkingRestriction,A.CurbType,B.CurbType,A.TrafficCalming,B.TrafficCalming,A.OtherRoute,B.OtherRoute,A.Crossing,B.Crossing,A.Lights,B.Lights,A.LightCover,B.LightCover,A.Destinations,B.Destinations,ParkingSpots,A.BikeParking,B.BikeParking,A.Maintenance,B.Maintenance,A.Trees,B.Trees,A.TreeHeight,B.TreeHeight,A.Cleanliness,B.Cleanliness,A.BusStops,B.BusStops,A.SoBiHub,B.SoBiHub,A.Attractiveness,B.Attractiveness,A.Comfortability,B.Comfortability,A.Views,B.Views,A.Wayfinding,B.Wayfinding
1A,1,Housing,"Food, Retail",Housing,Retail,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,Yes,No,Yes,Not Applicable,No,Yes,101+,None,None,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are small,None or almost none,None or almost none,1 or more per block,1 or more per block,No,No,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Residential,Commercial,Not easy at all,Not easy at all
1A,2,Natural features,Natural features,Natural Features,Natural Features,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,Yes,Yes,Yes,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are medium,None or almost none,None or almost none,1 or more per block,1 or more per block,No,No,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Other nature,Other nature,Not easy at all,Not easy at all
1A,3,"Housing, Food, Natural features","Office, Food, Service, Natural Features",Natural Features,Service,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,Yes,Yes,Yes,Yes,Yes,71 to 100,None,None,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are small,None or almost none,None or almost none,1 or more per block,1 or more per block,No,Yes,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Other nature,Commercial,Not easy at all,Fairly easy
1A,4,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Mountable,Mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are small,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
1A,5,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are small,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
1A,6,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,No curb,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,No,Yes,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Very easy,Very easy
1A,7,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
1A,8,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,No,Not Applicable,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are medium,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
1A,9,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,Yes,No,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
1A,10,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Mountable,Mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are medium,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
